Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.18617, best fitness:  -0.18306
***Doing generation 239 of 400***
Generation average: -0.18589, best fitness:  -0.18306
***Doing generation 240 of 400***
Generation average: -0.18570, best fitness:  -0.18284
***Doing generation 241 of 400***
Generation average: -0.18568, best fitness:  -0.18175
***Doing generation 242 of 400***
Generation average: -0.18461, best fitness:  -0.18175
***Doing generation 243 of 400***
Generation average: -0.18379, best fitness:  -0.18175
***Doing generation 244 of 400***
Generation average: -0.18431, best fitness:  -0.18090
***Doing generation 245 of 400***
Generation average: -0.18318, best fitness:  -0.18090
***Doing generation 246 of 400***
Generation average: -0.18258, best fitness:  -0.18079
***Doing generation 247 of 400***
Generation average: -0.18254, best fitness:  -0.17992
***Doing generation 248 of 400***
Generation average: -0.18233, best fitness:  -0.17925
***Doing generation 249 of 400***
Generation average: -0.18118, best fitness:  -0.17924
***Doing generation 250 of 400***
Generation average: -0.18099, best fitness:  -0.17900
***Doing generation 251 of 400***
Generation average: -0.18079, best fitness:  -0.17804
***Doing generation 252 of 400***
Generation average: -0.18031, best fitness:  -0.17804
***Doing generation 253 of 400***
Generation average: -0.17986, best fitness:  -0.17755
***Doing generation 254 of 400***
Generation average: -0.18021, best fitness:  -0.17727
***Doing generation 255 of 400***
Generation average: -0.17952, best fitness:  -0.17727
***Doing generation 256 of 400***
Generation average: -0.17883, best fitness:  -0.17727
***Doing generation 257 of 400***
Generation average: -0.17843, best fitness:  -0.17615
***Doing generation 258 of 400***
Generation average: -0.17840, best fitness:  -0.17570
***Doing generation 259 of 400***
Generation average: -0.17751, best fitness:  -0.17570
***Doing generation 260 of 400***
Generation average: -0.17699, best fitness:  -0.17441
***Doing generation 261 of 400***
Generation average: -0.17641, best fitness:  -0.17434
***Doing generation 262 of 400***
Generation average: -0.17596, best fitness:  -0.17434
***Doing generation 263 of 400***
Generation average: -0.17601, best fitness:  -0.17408
***Doing generation 264 of 400***
Generation average: -0.17587, best fitness:  -0.17408
***Doing generation 265 of 400***
Generation average: -0.17525, best fitness:  -0.17306
***Doing generation 266 of 400***
Generation average: -0.17530, best fitness:  -0.17297
***Doing generation 267 of 400***
Generation average: -0.17425, best fitness:  -0.17297
***Doing generation 268 of 400***
Generation average: -0.17410, best fitness:  -0.17229
***Doing generation 269 of 400***
Generation average: -0.17384, best fitness:  -0.17217
***Doing generation 270 of 400***
Generation average: -0.17360, best fitness:  -0.17080
***Doing generation 271 of 400***
Generation average: -0.17292, best fitness:  -0.17080
***Doing generation 272 of 400***
Generation average: -0.17275, best fitness:  -0.17078
***Doing generation 273 of 400***
Generation average: -0.17235, best fitness:  -0.16998
***Doing generation 274 of 400***
Generation average: -0.17231, best fitness:  -0.16910
***Doing generation 275 of 400***
Generation average: -0.17136, best fitness:  -0.16460
***Doing generation 276 of 400***
Generation average: -0.17101, best fitness:  -0.16460
***Doing generation 277 of 400***
Generation average: -0.17047, best fitness:  -0.16412
***Doing generation 278 of 400***
Generation average: -0.16983, best fitness:  -0.16352
***Doing generation 279 of 400***
Generation average: -0.16883, best fitness:  -0.16352
***Doing generation 280 of 400***
Generation average: -0.16767, best fitness:  -0.16352
***Doing generation 281 of 400***
Generation average: -0.16623, best fitness:  -0.16352
***Doing generation 282 of 400***
Generation average: -0.16464, best fitness:  -0.16296
***Doing generation 283 of 400***
Generation average: -0.16427, best fitness:  -0.16296
***Doing generation 284 of 400***
Generation average: -0.16399, best fitness:  -0.16043
***Doing generation 285 of 400***
Generation average: -0.16390, best fitness:  -0.16043
***Doing generation 286 of 400***
Generation average: -0.16384, best fitness:  -0.16043
***Doing generation 287 of 400***
Generation average: -0.16391, best fitness:  -0.15985
***Doing generation 288 of 400***
Generation average: -0.16362, best fitness:  -0.15926
***Doing generation 289 of 400***
Generation average: -0.16234, best fitness:  -0.15808
***Doing generation 290 of 400***
Generation average: -0.16175, best fitness:  -0.15729
***Doing generation 291 of 400***
Generation average: -0.16047, best fitness:  -0.15729
***Doing generation 292 of 400***
Generation average: -0.15994, best fitness:  -0.15729
***Doing generation 293 of 400***
Generation average: -0.15959, best fitness:  -0.15604
***Doing generation 294 of 400***
Generation average: -0.16005, best fitness:  -0.15462
***Doing generation 295 of 400***
Generation average: -0.15874, best fitness:  -0.15462
***Doing generation 296 of 400***
Generation average: -0.15731, best fitness:  -0.15435
***Doing generation 297 of 400***
Generation average: -0.15644, best fitness:  -0.15337
***Doing generation 298 of 400***
Generation average: -0.15576, best fitness:  -0.15331
***Doing generation 299 of 400***
Generation average: -0.15523, best fitness:  -0.15329
***Doing generation 300 of 400***
Generation average: -0.15488, best fitness:  -0.15255
***Doing generation 301 of 400***
Generation average: -0.15449, best fitness:  -0.15248
***Doing generation 302 of 400***
Generation average: -0.15451, best fitness:  -0.15229
***Doing generation 303 of 400***
Generation average: -0.15466, best fitness:  -0.15209
***Doing generation 304 of 400***
Generation average: -0.15361, best fitness:  -0.15104
***Doing generation 305 of 400***
Generation average: -0.15327, best fitness:  -0.15104
***Doing generation 306 of 400***
Generation average: -0.15380, best fitness:  -0.15104
***Doing generation 307 of 400***
Generation average: -0.15349, best fitness:  -0.15104
***Doing generation 308 of 400***
Generation average: -0.15310, best fitness:  -0.15021
***Doing generation 309 of 400***
Generation average: -0.15237, best fitness:  -0.14918
***Doing generation 310 of 400***
Generation average: -0.15100, best fitness:  -0.14918
***Doing generation 311 of 400***
Generation average: -0.15081, best fitness:  -0.14915
***Doing generation 312 of 400***
Generation average: -0.15070, best fitness:  -0.14911
***Doing generation 313 of 400***
Generation average: -0.15030, best fitness:  -0.14858
***Doing generation 314 of 400***
Generation average: -0.15022, best fitness:  -0.14801
***Doing generation 315 of 400***
Generation average: -0.14985, best fitness:  -0.14801
***Doing generation 316 of 400***
Generation average: -0.14998, best fitness:  -0.14801
***Doing generation 317 of 400***
Generation average: -0.14893, best fitness:  -0.14757
***Doing generation 318 of 400***
Generation average: -0.14865, best fitness:  -0.14715
***Doing generation 319 of 400***
Generation average: -0.14901, best fitness:  -0.14643
***Doing generation 320 of 400***
Generation average: -0.14836, best fitness:  -0.14643
***Doing generation 321 of 400***
Generation average: -0.14842, best fitness:  -0.14585
***Doing generation 322 of 400***
Generation average: -0.14928, best fitness:  -0.14585
***Doing generation 323 of 400***
Generation average: -0.14825, best fitness:  -0.14482
***Doing generation 324 of 400***
Generation average: -0.14673, best fitness:  -0.14482
***Doing generation 325 of 400***
Generation average: -0.14718, best fitness:  -0.14482
***Doing generation 326 of 400***
Generation average: -0.14755, best fitness:  -0.14427
***Doing generation 327 of 400***
Generation average: -0.14569, best fitness:  -0.14389
***Doing generation 328 of 400***
Generation average: -0.14508, best fitness:  -0.14389
***Doing generation 329 of 400***
Generation average: -0.14465, best fitness:  -0.14388
***Doing generation 330 of 400***
Generation average: -0.14441, best fitness:  -0.14367
***Doing generation 331 of 400***
Generation average: -0.14512, best fitness:  -0.14200
***Doing generation 332 of 400***
Generation average: -0.14455, best fitness:  -0.14142
***Doing generation 333 of 400***
Generation average: -0.14407, best fitness:  -0.14133
***Doing generation 334 of 400***
Generation average: -0.14400, best fitness:  -0.14133
***Doing generation 335 of 400***
Generation average: -0.14477, best fitness:  -0.13981
***Doing generation 336 of 400***
Generation average: -0.14244, best fitness:  -0.13981
***Doing generation 337 of 400***
Generation average: -0.14254, best fitness:  -0.13981
***Doing generation 338 of 400***
